HourDK;WP Prognosis (MWh);Cons. Prognosis (MWh);WP Penetration (MWh);Day-Ahead price (DKK);;;;;
09-01-18 15.00;3.389;2.815;1,20;233,82;;;;;
09-01-18 16.00;3.381;2.933;1,15;240,15;;;;;
09-01-18 17.00;3.377;3.133;1,08;244,77;;;;;
09-01-18 18.00;3.397;3.002;1,13;241,56;;;;;
09-01-18 19.00;3.240;2.839;1,14;234,56;;;;;
09-01-18 20.00;2.834;2.643;1,07;227,79;;;;;
09-01-18 21.00;2.522;2.462;1,02;224,51;;;;;
09-01-18 22.00;2.358;2.289;1,03;217,66;;;;;
09-01-18 23.00;2.215;2.104;1,05;212,67;;;;;
10-01-18 00.00;2.034;1.959;1,04;214,98;;;;;
10-01-18 01.00;1.882;1.862;1,01;210,74;;;;;
10-01-18 02.00;1.682;1.848;0,91;208,13;;;;;
10-01-18 03.00;1.550;1.904;0,81;200,39;;;;;
10-01-18 04.00;1.437;1.951;0,74;198,30;;;;;
10-01-18 05.00;1.325;2.108;0,63;230,17;;;;;
10-01-18 06.00;1.269;2.533;0,50;259,66;;;;;
10-01-18 07.00;1.245;2.952;0,42;327,72;;;;;
10-01-18 08.00;1.217;3.075;0,40;357,28;;;;;
10-01-18 09.00;1.147;3.016;0,38;357,28;;;;;
10-01-18 10.00;1.087;3.080;0,35;357,73;;;;;
10-01-18 11.00;974;3.105;0,31;355,79;;;;;
10-01-18 12.00;913;3.034;0,30;350,66;;;;;
10-01-18 13.00;892;3.053;0,29;328,76;;;;;
10-01-18 14.00;894;3.005;0,30;342,32;;;;;
10-01-18 15.00;922;2.929;0,31;348,72;;;;;
10-01-18 16.00;881;3.028;0,29;364,13;;;;;
10-01-18 17.00;784;3.225;0,24;386,47;;;;;
10-01-18 18.00;696;3.044;0,23;392,36;;;;;
10-01-18 19.00;650;2.815;0,23;365,62;;;;;
10-01-18 20.00;614;2.618;0,23;297,86;;;;;
10-01-18 21.00;559;2.488;0,22;266,66;;;;;
10-01-18 22.00;484;2.318;0,21;247,52;;;;;
10-01-18 23.00;436;2.157;0,20;252,14;;;;;
11-01-18 00.00;539;2.008;0,27;230,92;;;;;
11-01-18 01.00;545;1.943;0,28;223,62;;;;;
11-01-18 02.00;549;1.925;0,29;222,36;;;;;
11-01-18 03.00;533;1.964;0,27;223,17;;;;;
11-01-18 04.00;516;2.006;0,26;230,47;;;;;
11-01-18 05.00;492;2.137;0,23;247,52;;;;;
11-01-18 06.00;461;2.548;0,18;309,03;;;;;
11-01-18 07.00;390;2.986;0,13;382,53;;;;;
11-01-18 08.00;317;3.126;0,10;414,40;;;;;
11-01-18 09.00;265;3.090;0,09;410,38;;;;;
11-01-18 10.00;249;3.140;0,08;410,53;;;;;
11-01-18 11.00;219;3.135;0,07;406,36;;;;;
11-01-18 12.00;227;3.054;0,07;393,63;;;;;
11-01-18 13.00;288;3.049;0,09;349,02;;;;;
11-01-18 14.00;348;3.007;0,12;371,66;;;;;
11-01-18 15.00;410;2.964;0,14;389,31;;;;;
11-01-18 16.00;438;3.067;0,14;408,15;;;;;
11-01-18 17.00;432;3.297;0,13;419,84;;;;;
11-01-18 18.00;425;3.120;0,14;417,75;;;;;
