HourDK;WP Prognosis (MWh);Cons. Prognosis (MWh);WP Penetration (MWh);Day-Ahead price (DKK);;;;;
21-12-18 23.00;857;1.986;0,43;365,96;;;;;
22-12-18 00.00;1.451;1.840;0,79;345,85;;;;;
22-12-18 01.00;1.354;1.792;0,76;339,80;;;;;
22-12-18 02.00;1.248;1.777;0,70;338,46;;;;;
22-12-18 03.00;1.117;1.776;0,63;338,23;;;;;
22-12-18 04.00;1.084;1.781;0,61;347,49;;;;;
22-12-18 05.00;1.017;1.849;0,55;357,65;;;;;
22-12-18 06.00;968;1.958;0,49;361,53;;;;;
22-12-18 07.00;900;2.140;0,42;369,14;;;;;
22-12-18 08.00;809;2.349;0,34;375,49;;;;;
22-12-18 09.00;653;2.425;0,27;384,67;;;;;
22-12-18 10.00;522;2.467;0,21;392,44;;;;;
22-12-18 11.00;429;2.459;0,17;396,32;;;;;
22-12-18 12.00;336;2.390;0,14;395,65;;;;;
22-12-18 13.00;254;2.379;0,11;396,70;;;;;
22-12-18 14.00;205;2.361;0,09;395,20;;;;;
22-12-18 15.00;170;2.404;0,07;401,55;;;;;
22-12-18 16.00;146;2.538;0,06;410,96;;;;;
22-12-18 17.00;145;2.650;0,05;422,01;;;;;
22-12-18 18.00;150;2.608;0,06;426,11;;;;;
22-12-18 19.00;176;2.457;0,07;436,04;;;;;
22-12-18 20.00;210;2.310;0,09;387,66;;;;;
22-12-18 21.00;262;2.220;0,12;374,15;;;;;
22-12-18 22.00;331;2.069;0,16;381,46;;;;;
22-12-18 23.00;388;1.906;0,20;376,83;;;;;
23-12-18 00.00;129;1.785;0,07;384,45;;;;;
23-12-18 01.00;124;1.718;0,07;379,52;;;;;
23-12-18 02.00;117;1.698;0,07;378,85;;;;;
23-12-18 03.00;119;1.674;0,07;374,37;;;;;
23-12-18 04.00;146;1.696;0,09;372,88;;;;;
23-12-18 05.00;174;1.739;0,10;376,76;;;;;
23-12-18 06.00;197;1.853;0,11;379,90;;;;;
23-12-18 07.00;251;2.038;0,12;383,55;;;;;
23-12-18 08.00;288;2.212;0,13;385,35;;;;;
23-12-18 09.00;295;2.298;0,13;389,90;;;;;
23-12-18 10.00;301;2.399;0,13;394,23;;;;;
23-12-18 11.00;321;2.409;0,13;395,72;;;;;
23-12-18 12.00;359;2.370;0,15;396,55;;;;;
23-12-18 13.00;332;2.347;0,14;395,20;;;;;
23-12-18 14.00;336;2.369;0,14;395,20;;;;;
23-12-18 15.00;333;2.424;0,14;385,27;;;;;
23-12-18 16.00;337;2.610;0,13;418,05;;;;;
23-12-18 17.00;344;2.704;0,13;473,08;;;;;
23-12-18 18.00;374;2.592;0,14;456,95;;;;;
23-12-18 19.00;377;2.432;0,16;428,73;;;;;
23-12-18 20.00;363;2.282;0,16;415,21;;;;;
23-12-18 21.00;318;2.170;0,15;403,12;;;;;
23-12-18 22.00;266;2.038;0,13;402,15;;;;;
23-12-18 23.00;220;1.886;0,12;390,65;;;;;
24-12-18 00.00;275;1.789;0,15;321,13;;;;;
24-12-18 01.00;288;1.694;0,17;298,14;;;;;
24-12-18 02.00;297;1.633;0,18;313,00;;;;;
24-12-18 03.00;324;1.637;0,20;364,07;;;;;
24-12-18 04.00;335;1.653;0,20;361,60;;;;;
24-12-18 05.00;335;1.684;0,20;371,16;;;;;
24-12-18 06.00;335;1.774;0,19;373,47;;;;;
24-12-18 07.00;356;1.977;0,18;373,25;;;;;
24-12-18 08.00;520;2.214;0,23;394,98;;;;;
24-12-18 09.00;757;2.318;0,33;398,64;;;;;
24-12-18 10.00;991;2.305;0,43;396,47;;;;;
24-12-18 11.00;1.171;2.309;0,51;394,83;;;;;
24-12-18 12.00;1.331;2.290;0,58;395,50;;;;;
24-12-18 13.00;1.382;2.260;0,61;391,69;;;;;
24-12-18 14.00;1.403;2.270;0,62;391,54;;;;;
24-12-18 15.00;1.451;2.360;0,61;394,98;;;;;
24-12-18 16.00;1.580;2.527;0,63;397,52;;;;;
24-12-18 17.00;1.673;2.699;0,62;392,81;;;;;
24-12-18 18.00;1.800;2.230;0,81;383,11;;;;;
24-12-18 19.00;2.040;2.055;0,99;378,85;;;;;
24-12-18 20.00;2.234;1.954;1,14;371,53;;;;;
24-12-18 21.00;2.332;1.904;1,22;362,35;;;;;
24-12-18 22.00;2.501;1.849;1,35;361,23;;;;;
24-12-18 23.00;2.640;1.805;1,46;238,03;;;;;
25-12-18 00.00;2.612;1.787;1,46;177,63;;;;;
25-12-18 01.00;2.709;1.727;1,57;0,67;;;;;
25-12-18 02.00;2.784;1.630;1,71;-0,30;;;;;
25-12-18 03.00;2.782;1.584;1,76;59,28;;;;;
25-12-18 04.00;2.777;1.618;1,72;93,18;;;;;
25-12-18 05.00;2.844;1.705;1,67;5,38;;;;;
25-12-18 06.00;2.903;1.768;1,64;-54,51;;;;;
25-12-18 07.00;2.872;1.892;1,52;-42,41;;;;;
25-12-18 08.00;2.814;2.050;1,37;151,87;;;;;
25-12-18 09.00;2.740;2.112;1,30;185,54;;;;;
25-12-18 10.00;2.785;2.204;1,26;111,47;;;;;
25-12-18 11.00;2.808;2.214;1,27;184,27;;;;;
25-12-18 12.00;2.829;2.159;1,31;197,79;;;;;
25-12-18 13.00;2.758;2.126;1,30;43,38;;;;;
25-12-18 14.00;2.756;2.175;1,27;29,19;;;;;
25-12-18 15.00;2.737;2.178;1,26;134,32;;;;;
25-12-18 16.00;2.726;2.281;1,20;189,65;;;;;
25-12-18 17.00;2.722;2.411;1,13;220,19;;;;;
25-12-18 18.00;2.664;2.316;1,15;312,03;;;;;
25-12-18 19.00;2.695;2.175;1,24;316,58;;;;;
25-12-18 20.00;2.667;2.093;1,27;317,55;;;;;
25-12-18 21.00;2.552;1.981;1,29;270,51;;;;;
25-12-18 22.00;2.504;1.861;1,35;298,21;;;;;
25-12-18 23.00;2.376;1.752;1,36;204,58;;;;;
26-12-18 00.00;2.318;1.713;1,35;186,96;;;;;
26-12-18 01.00;2.330;1.692;1,38;183,45;;;;;
26-12-18 02.00;2.299;1.647;1,40;162,10;;;;;
26-12-18 03.00;2.146;1.656;1,30;176,81;;;;;
26-12-18 04.00;2.047;1.711;1,20;156,72;;;;;
26-12-18 05.00;1.990;1.770;1,12;212,87;;;;;
26-12-18 06.00;1.944;1.863;1,04;216,45;;;;;
26-12-18 07.00;1.752;1.994;0,88;347,04;;;;;
26-12-18 08.00;1.497;2.169;0,69;368,47;;;;;
26-12-18 09.00;1.310;2.304;0,57;381,54;;;;;
26-12-18 10.00;1.281;2.348;0,55;386,91;;;;;
26-12-18 11.00;1.268;2.324;0,55;388,71;;;;;
26-12-18 12.00;1.341;2.253;0,60;386,62;;;;;
26-12-18 13.00;1.347;2.146;0,63;386,84;;;;;
26-12-18 14.00;1.475;2.107;0,70;383,26;;;;;
26-12-18 15.00;1.560;2.114;0,74;387,66;;;;;
26-12-18 16.00;1.612;2.257;0,71;392,59;;;;;
26-12-18 17.00;1.730;2.343;0,74;392,22;;;;;
26-12-18 18.00;1.753;2.312;0,76;390,95;;;;;
26-12-18 19.00;1.823;2.213;0,82;388,41;;;;;
26-12-18 20.00;1.800;2.131;0,84;384,82;;;;;
26-12-18 21.00;1.742;2.039;0,85;371,31;;;;;
26-12-18 22.00;1.842;1.985;0,93;367,43;;;;;
26-12-18 23.00;1.944;1.846;1,05;358,62;;;;;
27-12-18 00.00;1.816;1.689;1,08;353,99;;;;;
27-12-18 01.00;1.762;1.631;1,08;351,67;;;;;
27-12-18 02.00;1.705;1.641;1,04;348,98;;;;;
27-12-18 03.00;1.670;1.624;1,03;336,22;;;;;
27-12-18 04.00;1.668;1.602;1,04;343,61;;;;;
27-12-18 05.00;1.650;1.675;0,99;367,20;;;;;
27-12-18 06.00;1.620;1.881;0,86;381,02;;;;;
27-12-18 07.00;1.552;2.149;0,72;396,77;;;;;
27-12-18 08.00;1.510;2.363;0,64;394,01;;;;;
27-12-18 09.00;1.471;2.433;0,60;398,64;;;;;
27-12-18 10.00;1.543;2.473;0,62;398,71;;;;;
27-12-18 11.00;1.679;2.458;0,68;397,52;;;;;
27-12-18 12.00;1.815;2.414;0,75;399,01;;;;;
27-12-18 13.00;1.752;2.399;0,73;397,59;;;;;
27-12-18 14.00;1.673;2.410;0,69;397,44;;;;;
27-12-18 15.00;1.576;2.432;0,65;401,47;;;;;
27-12-18 16.00;1.531;2.524;0,61;406,55;;;;;
27-12-18 17.00;1.559;2.638;0,59;407,22;;;;;
27-12-18 18.00;1.530;2.513;0,61;401,40;;;;;
27-12-18 19.00;1.623;2.343;0,69;394,98;;;;;
27-12-18 20.00;1.741;2.195;0,79;388,93;;;;;
27-12-18 21.00;1.770;2.095;0,84;384,30;;;;;
27-12-18 22.00;1.804;1.950;0,93;380,49;;;;;
27-12-18 23.00;1.875;1.809;1,04;376,98;;;;;
28-12-18 00.00;1.916;1.697;1,13;373,65;;;;;
28-12-18 01.00;1.813;1.640;1,11;369,02;;;;;
28-12-18 02.00;1.675;1.638;1,02;367,30;;;;;
28-12-18 03.00;1.530;1.626;0,94;362,22;;;;;
28-12-18 04.00;1.447;1.642;0,88;358,94;;;;;
28-12-18 05.00;1.383;1.722;0,80;372,01;;;;;
28-12-18 06.00;1.280;1.913;0,67;388,51;;;;;
28-12-18 07.00;1.100;2.163;0,51;395,38;;;;;
28-12-18 08.00;986;2.302;0,43;405,98;;;;;
28-12-18 09.00;914;2.384;0,38;412,25;;;;;
28-12-18 10.00;899;2.461;0,37;412,40;;;;;
28-12-18 11.00;864;2.443;0,35;412,25;;;;;
28-12-18 12.00;919;2.381;0,39;413,60;;;;;
28-12-18 13.00;901;2.373;0,38;412,78;;;;;
28-12-18 14.00;914;2.331;0,39;412,85;;;;;
28-12-18 15.00;865;2.332;0,37;420,09;;;;;
28-12-18 16.00;838;2.460;0,34;437,64;;;;;
28-12-18 17.00;915;2.615;0,35;460,86;;;;;
28-12-18 18.00;930;2.531;0,37;425,32;;;;;
28-12-18 19.00;971;2.360;0,41;412,55;;;;;
28-12-18 20.00;1.040;2.180;0,48;396,50;;;;;
28-12-18 21.00;1.085;2.027;0,54;391,27;;;;;
28-12-18 22.00;1.187;1.878;0,63;384,40;;;;;
28-12-18 23.00;1.272;1.744;0,73;374,69;;;;;
29-12-18 00.00;1.085;1.677;0,65;381,42;;;;;
29-12-18 01.00;1.168;1.583;0,74;372,38;;;;;
29-12-18 02.00;1.291;1.574;0,82;365,14;;;;;
29-12-18 03.00;1.408;1.586;0,89;352,07;;;;;
29-12-18 04.00;1.490;1.613;0,92;349,39;;;;;
29-12-18 05.00;1.469;1.687;0,87;352,52;;;;;
29-12-18 06.00;1.353;1.758;0,77;358,50;;;;;
29-12-18 07.00;1.200;1.865;0,64;373,50;;;;;
29-12-18 08.00;1.149;2.089;0,55;381,72;;;;;
29-12-18 09.00;1.133;2.241;0,51;388,29;;;;;
29-12-18 10.00;1.204;2.293;0,53;386,27;;;;;
29-12-18 11.00;1.263;2.296;0,55;386,35;;;;;
29-12-18 12.00;1.291;2.276;0,57;388,96;;;;;
29-12-18 13.00;1.200;2.328;0,52;388,14;;;;;
29-12-18 14.00;1.140;2.273;0,50;381,87;;;;;
29-12-18 15.00;1.084;2.281;0,48;379,25;;;;;
29-12-18 16.00;1.047;2.443;0,43;382,91;;;;;
29-12-18 17.00;1.019;2.613;0,39;394,93;;;;;
29-12-18 18.00;942;2.502;0,38;388,29;;;;;
29-12-18 19.00;1.045;2.329;0,45;379,25;;;;;
29-12-18 20.00;1.288;2.212;0,58;367,53;;;;;
29-12-18 21.00;1.521;2.058;0,74;289,50;;;;;
29-12-18 22.00;1.739;2.002;0,87;185,48;;;;;
29-12-18 23.00;1.951;1.862;1,05;0,90;;;;;
30-12-18 00.00;2.469;1.767;1,40;102,66;;;;;
30-12-18 01.00;2.469;1.681;1,47;0,15;;;;;
30-12-18 02.00;2.523;1.715;1,47;43,90;;;;;
30-12-18 03.00;2.499;1.750;1,43;15,60;;;;;
30-12-18 04.00;2.527;1.802;1,40;10,15;;;;;
30-12-18 05.00;2.649;1.849;1,43;-73,91;;;;;
30-12-18 06.00;2.706;1.885;1,44;-49,13;;;;;
30-12-18 07.00;2.701;2.017;1,34;0,60;;;;;
30-12-18 08.00;2.729;2.135;1,28;231,00;;;;;
30-12-18 09.00;2.665;2.210;1,21;314,32;;;;;
30-12-18 10.00;2.658;2.260;1,18;369,87;;;;;
30-12-18 11.00;2.534;2.190;1,16;381,96;;;;;
30-12-18 12.00;2.334;2.149;1,09;381,96;;;;;
30-12-18 13.00;2.045;2.123;0,96;370,61;;;;;
30-12-18 14.00;1.711;2.125;0,81;344,85;;;;;
30-12-18 15.00;1.335;2.245;0,59;355,68;;;;;
30-12-18 16.00;1.053;2.370;0,44;360,83;;;;;
30-12-18 17.00;770;2.504;0,31;436,01;;;;;
30-12-18 18.00;552;2.517;0,22;466,10;;;;;
30-12-18 19.00;425;2.376;0,18;410,63;;;;;
30-12-18 20.00;286;2.247;0,13;403,01;;;;;
30-12-18 21.00;172;2.070;0,08;395,55;;;;;
30-12-18 22.00;161;1.943;0,08;395,62;;;;;
30-12-18 23.00;130;1.788;0,07;392,11;;;;;
31-12-18 00.00;142;1.648;0,09;380,32;;;;;
31-12-18 01.00;187;1.579;0,12;370,09;;;;;
31-12-18 02.00;245;1.544;0,16;360,76;;;;;
31-12-18 03.00;303;1.561;0,19;342,61;;;;;
31-12-18 04.00;406;1.591;0,26;339,48;;;;;
31-12-18 05.00;620;1.645;0,38;351,72;;;;;
31-12-18 06.00;841;1.730;0,49;366,73;;;;;
31-12-18 07.00;946;1.868;0,51;377,03;;;;;
31-12-18 08.00;995;2.018;0,49;378,00;;;;;
31-12-18 09.00;1.049;2.133;0,49;380,17;;;;;
31-12-18 10.00;1.174;2.190;0,54;382,11;;;;;
31-12-18 11.00;1.260;2.191;0,58;382,18;;;;;
31-12-18 12.00;1.431;2.162;0,66;380,02;;;;;
31-12-18 13.00;1.567;2.147;0,73;379,05;;;;;
31-12-18 14.00;1.854;2.158;0,86;378,08;;;;;
31-12-18 15.00;2.098;2.214;0,95;377,11;;;;;
31-12-18 16.00;2.301;2.399;0,96;379,50;;;;;
31-12-18 17.00;2.517;2.547;0,99;374,12;;;;;
31-12-18 18.00;2.703;2.450;1,10;368,45;;;;;
31-12-18 19.00;2.989;2.256;1,32;354,71;;;;;
31-12-18 20.00;3.159;2.110;1,50;342,09;;;;;
31-12-18 21.00;3.155;2.045;1,54;321,26;;;;;
31-12-18 22.00;3.229;1.972;1,64;287,74;;;;;
31-12-18 23.00;3.346;1.910;1,75;191,88;;;;;
01-01-19 00.00;3.510;1.857;1,89;211,48;;;;;
01-01-19 01.00;3.535;1.819;1,94;75,20;;;;;
01-01-19 02.00;3.421;1.755;1,95;-30,47;;;;;
01-01-19 03.00;3.213;1.709;1,88;-74,00;;;;;
01-01-19 04.00;3.222;1.685;1,91;-55,33;;;;;
01-01-19 05.00;3.306;1.706;1,94;-93,72;;;;;
01-01-19 06.00;3.290;1.726;1,91;-128,81;;;;;
01-01-19 07.00;3.157;1.777;1,78;-112,54;;;;;
01-01-19 08.00;2.953;1.901;1,55;-36,81;;;;;
01-01-19 09.00;2.848;1.979;1,44;-47,27;;;;;
01-01-19 10.00;2.937;2.062;1,42;-36,81;;;;;
01-01-19 11.00;2.957;2.132;1,39;3,36;;;;;
01-01-19 12.00;2.939;2.143;1,37;0,90;;;;;
01-01-19 13.00;2.909;2.133;1,36;-0,15;;;;;
01-01-19 14.00;2.930;2.201;1,33;0,00;;;;;
01-01-19 15.00;2.985;2.197;1,36;-0,22;;;;;
01-01-19 16.00;3.069;2.341;1,31;14,71;;;;;
01-01-19 17.00;3.199;2.576;1,24;67,66;;;;;
01-01-19 18.00;3.318;2.469;1,34;0,52;;;;;
01-01-19 19.00;3.502;2.367;1,48;-37,11;;;;;
01-01-19 20.00;3.496;2.267;1,54;-52,12;;;;;
01-01-19 21.00;3.370;2.179;1,55;-119,55;;;;;
01-01-19 22.00;3.370;2.036;1,66;-36,37;;;;;
01-01-19 23.00;3.429;1.931;1,78;-216,03;;;;;
02-01-19 00.00;2.833;1.788;1,58;-250,65;;;;;
02-01-19 01.00;2.876;1.716;1,68;-342,87;;;;;
02-01-19 02.00;2.795;1.714;1,63;-360,56;;;;;
02-01-19 03.00;2.661;1.713;1,55;-250,88;;;;;
02-01-19 04.00;3.158;1.806;1,75;-250,43;;;;;
02-01-19 05.00;3.301;1.907;1,73;-132,83;;;;;
02-01-19 06.00;3.288;2.272;1,45;-0,07;;;;;
02-01-19 07.00;3.159;2.641;1,20;279,47;;;;;
02-01-19 08.00;2.862;2.710;1,06;358,84;;;;;
02-01-19 09.00;2.530;2.798;0,90;378,86;;;;;
02-01-19 10.00;2.402;2.827;0,85;359,22;;;;;
02-01-19 11.00;2.252;2.803;0,80;363,32;;;;;
02-01-19 12.00;2.096;2.722;0,77;372,88;;;;;
02-01-19 13.00;1.858;2.639;0,70;352,87;;;;;
02-01-19 14.00;1.575;2.633;0,60;370,64;;;;;
02-01-19 15.00;1.339;2.584;0,52;400,73;;;;;
02-01-19 16.00;1.185;2.763;0,43;418,20;;;;;
02-01-19 17.00;1.083;3.004;0,36;425,22;;;;;
02-01-19 18.00;1.006;2.911;0,35;413,57;;;;;
02-01-19 19.00;953;2.712;0,35;409,92;;;;;
02-01-19 20.00;886;2.486;0,36;402,15;;;;;
02-01-19 21.00;784;2.333;0,34;393,56;;;;;
02-01-19 22.00;845;2.178;0,39;388,94;;;;;
02-01-19 23.00;854;2.051;0,42;379,00;;;;;
03-01-19 00.00;759;1.958;0,39;320,35;;;;;
03-01-19 01.00;722;1.908;0,38;337,59;;;;;
03-01-19 02.00;740;1.903;0,39;360,66;;;;;
03-01-19 03.00;739;1.925;0,38;361,34;;;;;
03-01-19 04.00;763;2.013;0,38;364,25;;;;;
03-01-19 05.00;794;2.139;0,37;342,82;;;;;
03-01-19 06.00;853;2.452;0,35;381,27;;;;;
03-01-19 07.00;884;2.864;0,31;393,96;;;;;
03-01-19 08.00;861;3.036;0,28;469,51;;;;;
03-01-19 09.00;844;2.999;0,28;448,16;;;;;
03-01-19 10.00;723;3.005;0,24;434,42;;;;;
03-01-19 11.00;601;2.979;0,20;458,91;;;;;
03-01-19 12.00;528;2.912;0,18;462,87;;;;;
03-01-19 13.00;442;2.890;0,15;471,23;;;;;
03-01-19 14.00;385;2.867;0,13;475,33;;;;;
03-01-19 15.00;383;2.805;0,14;493,70;;;;;
03-01-19 16.00;479;2.935;0,16;510,72;;;;;
03-01-19 17.00;663;3.158;0,21;519,23;;;;;
03-01-19 18.00;875;3.064;0,29;490,27;;;;;
03-01-19 19.00;1.102;2.856;0,39;459,21;;;;;
03-01-19 20.00;1.328;2.655;0,50;418,37;;;;;
03-01-19 21.00;1.494;2.470;0,60;406,43;;;;;
03-01-19 22.00;1.740;2.295;0,76;388,88;;;;;
03-01-19 23.00;1.984;2.122;0,93;373,13;;;;;
04-01-19 00.00;2.091;1.972;1,06;372,38;;;;;
04-01-19 01.00;2.349;1.929;1,22;351,78;;;;;
04-01-19 02.00;2.450;1.896;1,29;351,48;;;;;
04-01-19 03.00;2.435;1.905;1,28;350,51;;;;;
04-01-19 04.00;2.409;1.980;1,22;350,95;;;;;
04-01-19 05.00;2.410;2.140;1,13;350,28;;;;;
04-01-19 06.00;2.367;2.533;0,93;370,29;;;;;
04-01-19 07.00;2.288;2.884;0,79;412,71;;;;;
04-01-19 08.00;2.274;3.007;0,76;406,51;;;;;
04-01-19 09.00;2.264;2.974;0,76;404,57;;;;;
04-01-19 10.00;2.368;3.034;0,78;402,48;;;;;
04-01-19 11.00;2.407;3.009;0,80;395,83;;;;;
04-01-19 12.00;2.552;2.859;0,89;386,35;;;;;
04-01-19 13.00;2.626;2.774;0,95;385,30;;;;;
04-01-19 14.00;2.787;2.757;1,01;383,88;;;;;
04-01-19 15.00;2.903;2.673;1,09;385,97;;;;;
04-01-19 16.00;2.994;2.821;1,06;392,69;;;;;
04-01-19 17.00;3.010;3.006;1,00;398,30;;;;;
04-01-19 18.00;2.965;2.876;1,03;394,34;;;;;
04-01-19 19.00;3.016;2.625;1,15;387,47;;;;;
04-01-19 20.00;2.944;2.447;1,20;347,82;;;;;
04-01-19 21.00;2.819;2.290;1,23;339,23;;;;;
04-01-19 22.00;2.824;2.145;1,32;328,25;;;;;
04-01-19 23.00;2.841;2.015;1,41;234,54;;;;;
05-01-19 00.00;2.774;1.912;1,45;200,88;;;;;
05-01-19 01.00;2.690;1.792;1,50;187,59;;;;;
05-01-19 02.00;2.495;1.749;1,43;180,12;;;;;
05-01-19 03.00;2.230;1.773;1,26;164,59;;;;;
05-01-19 04.00;2.145;1.830;1,17;137,18;;;;;
05-01-19 05.00;2.105;1.870;1,13;164,96;;;;;
05-01-19 06.00;1.962;1.944;1,01;174,37;;;;;
05-01-19 07.00;1.707;2.094;0,82;351,29;;;;;
05-01-19 08.00;1.409;2.275;0,62;373,32;;;;;
05-01-19 09.00;1.169;2.363;0,49;378,84;;;;;
05-01-19 10.00;961;2.396;0,40;380,34;;;;;
05-01-19 11.00;735;2.336;0,31;381,01;;;;;
05-01-19 12.00;617;2.251;0,27;383,55;;;;;
05-01-19 13.00;546;2.251;0,24;386,38;;;;;
05-01-19 14.00;459;2.229;0,21;387,73;;;;;
05-01-19 15.00;391;2.257;0,17;397,44;;;;;
05-01-19 16.00;311;2.450;0,13;412,67;;;;;
05-01-19 17.00;269;2.711;0,10;417,23;;;;;
05-01-19 18.00;247;2.643;0,09;412,67;;;;;
05-01-19 19.00;253;2.428;0,10;401,77;;;;;
05-01-19 20.00;278;2.293;0,12;393,93;;;;;
05-01-19 21.00;303;2.185;0,14;387,58;;;;;
05-01-19 22.00;307;2.020;0,15;383,70;;;;;
05-01-19 23.00;279;1.902;0,15;373,09;;;;;
06-01-19 00.00;90;1.767;0,05;375,52;;;;;
06-01-19 01.00;98;1.717;0,06;356,33;;;;;
06-01-19 02.00;117;1.723;0,07;364,46;;;;;
06-01-19 03.00;123;1.718;0,07;363,34;;;;;
06-01-19 04.00;135;1.739;0,08;357,07;;;;;
06-01-19 05.00;160;1.772;0,09;363,79;;;;;
06-01-19 06.00;176;1.862;0,09;359,83;;;;;
06-01-19 07.00;203;1.979;0,10;366,70;;;;;
06-01-19 08.00;263;2.138;0,12;376,64;;;;;
06-01-19 09.00;354;2.228;0,16;398,74;;;;;
06-01-19 10.00;451;2.354;0,19;390,90;;;;;
06-01-19 11.00;557;2.355;0,24;394,03;;;;;
06-01-19 12.00;671;2.310;0,29;394,71;;;;;
06-01-19 13.00;736;2.309;0,32;391,57;;;;;
06-01-19 14.00;773;2.319;0,33;384,70;;;;;
06-01-19 15.00;789;2.348;0,34;385,07;;;;;
06-01-19 16.00;812;2.531;0,32;397,84;;;;;
06-01-19 17.00;853;2.768;0,31;412,55;;;;;
06-01-19 18.00;887;2.702;0,33;405,08;;;;;
06-01-19 19.00;910;2.522;0,36;395,00;;;;;
06-01-19 20.00;857;2.305;0,37;387,91;;;;;
06-01-19 21.00;779;2.165;0,36;385,07;;;;;
06-01-19 22.00;751;2.072;0,36;378,65;;;;;
06-01-19 23.00;768;1.964;0,39;375,07;;;;;
07-01-19 00.00;746;1.822;0,41;343,71;;;;;
07-01-19 01.00;729;1.779;0,41;358,27;;;;;
07-01-19 02.00;722;1.799;0,40;357,22;;;;;
07-01-19 03.00;715;1.818;0,39;344,30;;;;;
07-01-19 04.00;692;1.868;0,37;344,08;;;;;
07-01-19 05.00;725;2.014;0,36;355,58;;;;;
07-01-19 06.00;753;2.388;0,32;416,43;;;;;
07-01-19 07.00;744;2.874;0,26;445,48;;;;;
07-01-19 08.00;727;3.017;0,24;432,64;;;;;
07-01-19 09.00;785;2.998;0,26;424,87;;;;;
07-01-19 10.00;833;3.036;0,27;420,24;;;;;
07-01-19 11.00;886;2.969;0,30;414,87;;;;;
07-01-19 12.00;1.027;2.889;0,36;411,73;;;;;
07-01-19 13.00;1.296;2.922;0,44;404,41;;;;;
07-01-19 14.00;1.739;2.892;0,60;401,20;;;;;
07-01-19 15.00;2.291;2.872;0,80;397,62;;;;;
07-01-19 16.00;2.810;2.972;0,95;397,69;;;;;
07-01-19 17.00;3.233;3.129;1,03;398,89;;;;;
07-01-19 18.00;3.372;3.018;1,12;374,77;;;;;
07-01-19 19.00;3.407;2.828;1,20;336,61;;;;;
07-01-19 20.00;3.221;2.608;1,24;305,85;;;;;
07-01-19 21.00;2.946;2.455;1,20;279,27;;;;;
07-01-19 22.00;2.832;2.331;1,21;157,93;;;;;
07-01-19 23.00;2.843;2.178;1,31;107,38;;;;;
08-01-19 00.00;3.199;2.062;1,55;133,96;;;;;
08-01-19 01.00;3.018;2.031;1,49;156,14;;;;;
08-01-19 02.00;2.720;1.937;1,40;58,09;;;;;
08-01-19 03.00;2.509;1.943;1,29;107,00;;;;;
08-01-19 04.00;2.436;2.016;1,21;138,59;;;;;
08-01-19 05.00;2.618;2.142;1,22;138,67;;;;;
08-01-19 06.00;2.783;2.509;1,11;267,40;;;;;
08-01-19 07.00;2.947;2.876;1,02;327,59;;;;;
08-01-19 08.00;3.019;3.028;1,00;350,44;;;;;
08-01-19 09.00;2.944;3.004;0,98;327,66;;;;;
08-01-19 10.00;3.019;3.022;1,00;327,44;;;;;
08-01-19 11.00;3.212;2.989;1,07;349,02;;;;;
08-01-19 12.00;3.383;2.916;1,16;328,11;;;;;
08-01-19 13.00;3.457;2.955;1,17;322,66;;;;;
08-01-19 14.00;3.526;2.942;1,20;327,14;;;;;
08-01-19 15.00;3.587;2.935;1,22;340,50;;;;;
08-01-19 16.00;3.646;2.983;1,22;262,92;;;;;
08-01-19 17.00;3.661;3.182;1,15;340,80;;;;;
08-01-19 18.00;3.604;3.029;1,19;340,73;;;;;
08-01-19 19.00;3.711;2.881;1,29;283,31;;;;;
08-01-19 20.00;3.640;2.700;1,35;295,18;;;;;
08-01-19 21.00;3.480;2.532;1,37;268,60;;;;;
08-01-19 22.00;3.439;2.432;1,41;221,93;;;;;
08-01-19 23.00;3.530;2.317;1,52;168,39;;;;;
09-01-19 00.00;3.509;2.172;1,62;149,62;;;;;
09-01-19 01.00;3.391;2.090;1,62;54,06;;;;;
09-01-19 02.00;3.284;2.035;1,61;25,61;;;;;
09-01-19 03.00;3.260;2.078;1,57;74,96;;;;;
09-01-19 04.00;3.233;2.086;1,55;106,02;;;;;
09-01-19 05.00;3.256;2.223;1,46;189,72;;;;;
09-01-19 06.00;3.245;2.587;1,25;276,10;;;;;
09-01-19 07.00;3.151;2.939;1,07;327,69;;;;;
09-01-19 08.00;3.075;3.084;1,00;380,63;;;;;
09-01-19 09.00;2.975;3.049;0,98;375,55;;;;;
09-01-19 10.00;2.983;3.058;0,98;374,88;;;;;
09-01-19 11.00;3.012;3.017;1,00;341,95;;;;;
09-01-19 12.00;3.023;2.933;1,03;325,82;;;;;
09-01-19 13.00;2.944;2.939;1,00;324,71;;;;;
09-01-19 14.00;2.774;2.883;0,96;336,35;;;;;
09-01-19 15.00;2.529;2.837;0,89;372,94;;;;;
09-01-19 16.00;2.332;2.915;0,80;401,83;;;;;
09-01-19 17.00;2.151;3.145;0,68;417,66;;;;;
09-01-19 18.00;1.955;3.008;0,65;404,59;;;;;
09-01-19 19.00;1.849;2.857;0,65;404,59;;;;;
09-01-19 20.00;1.655;2.677;0,62;395,56;;;;;
09-01-19 21.00;1.437;2.500;0,57;385,85;;;;;
09-01-19 22.00;1.277;2.332;0,55;380,48;;;;;
09-01-19 23.00;1.114;2.156;0,52;373,01;;;;;
10-01-19 00.00;490;2.038;0,24;377,11;;;;;
10-01-19 01.00;355;1.988;0,18;373,15;;;;;
